SERVOACTUATOR ASSY;3G6730V00531;3G6730V00531;HSC223232;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;3000;0;1498;835,8;1652;1498;835,8;1652;n/a;2164,2;n/a;n/a;
TAIL ROTOR SERVOACTUATOR ASSY;3G6730V00731;3G6730V00731;HSC215956;;OH;16/10/13;599,1;;2Y 9M 0D;1000;626,25;;0Y 0M 0D;0;3000;0;317;236,7;1652;1317;862,95;1652;n/a;2137,05;n/a;n/a;
SHUT OFF VALVE (2 off);3G7160V01451;3G7160V01451;548;;OH;6/12/11;238,8;;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10000;0;987;597;1652;987;597;1652;n/a;9403;n/a;n/a;
SHUT OFF VALVE (2 off);3G7160V01451;3G7160V01451;597;;OH;18/9/12;389,15;;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10000;0;705;446,65;1652;705;446,65;1652;n/a;9553,35;n/a;n/a;
FLOAT ASSY,FWD,LH;3G9560V00131;3G9560V00131;269;1;OH;16/11/13;599;;3Y 7M 0D;1305;327;;4Y 0M 0D;1460;0;0;287;236,8;1652;1592;563,8;1652;-132;n/a;n/a;24/4/14;
FLOAT ASSY,FWD,RH;3G9560V00231;3G9560V00231;42;2;OH;5/6/14;801,75;;0Y 6M 0D;180;121,7;;4Y 0M 0D;1460;0;0;88;34,05;1652;268;155,75;1652;1192;n/a;n/a;8/12/17;
AFT FLOAT LEFT ASSY;3G9560V00332;3G9560V00332;121;1;OH;28/5/14;793,4;;0Y 5M 0D;150;300,4;;4Y 0M 0D;1460;0;0;95;42,4;1652;245;342,8;1652;1215;n/a;n/a;31/12/17;
AFT FLOAT RIGHT ASSY;3G9560V00432;3G9560V00432;168;2;OH;16/11/13;599;;3Y 0M 0D;1095;327;;4Y 0M 0D;1460;0;0;287;236,8;1652;1382;563,8;1652;78;n/a;n/a;20/11/14;
BEARING SUPPORT ASSEMBLY;3T6510A00443;3T6510A00443;TBT0816;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
COUPLING FLEXIBLE;3T6510V00152;3T6510V00152;2602;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7500;60000;1498;835,8;1662;1498;835,8;1662;n/a;6664,2;58338;n/a;RT AT 60000 landings
COUPLING FLEXIBLE;3T6510V00152;3T6510V00152;2585;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7500;60000;1498;835,8;1662;1498;835,8;1662;n/a;6664,2;58338;n/a;RT AT 60000 landings
COUPLING FLEXIBLE;3T6510V00152;3T6510V00152;2610;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7500;60000;1498;835,8;1662;1498;835,8;1662;n/a;6664,2;58338;n/a;RT AT 60000 landings
COUPLING FLEXIBLE;3T6510V00152;3T6510V00152;2448;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7500;60000;1498;835,8;1662;1498;835,8;1662;n/a;6664,2;58338;n/a;RT AT 60000 landings
COUPLING FLEXIBLE;3T6510V00152;3T6510V00152;2559;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7500;60000;1498;835,8;1662;1498;835,8;1662;n/a;6664,2;58338;n/a;RT AT 60000 landings
INTERMEDIATE GEARBOX ASSY.;3T6521A00149;3T6521A00149;TBR5009;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7500;0;1498;835,8;1652;1498;835,8;1652;n/a;6664,2;n/a;n/a;
TAIL GEARBOX ASSY.;3T6522A00243;3T6522A00243;TBY8083;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7500;0;1498;835,8;1652;1498;835,8;1652;n/a;6664,2;n/a;n/a;
Torque Tube;4G6310A00931;4G6310A00931;;;OH;5/7/10;0;0;;#VALUE!;;;0Y 0M 0D;0;5000;0;1498;835,8;1652;#VALUE!;835,8;1652;n/a;4164,2;n/a;n/a;
BEACON RELEASE UNIT;503-21;503-21;970;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;
ELT SYSTEM UNIT;503-24-6;503-24-6;679;;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;10Y 0M 0D;3650;0;0;1498;835,8;1652;1498;835,8;1652;2152;n/a;n/a;25/7/20;BATTERY EXPIRES ON 07/2015
ENGINE ASSY;PT6C-67C;PT6C-67C;PCE-KB0782;2;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
ENGINE ASSY;PT6C-67C;PT6C-67C;PCE-KB0774;1;OH;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;5000;0;1498;835,8;1652;1498;835,8;1652;n/a;4164,2;n/a;n/a;
MVA Rod assy;3G1860A03535;3G1860A03535;R99;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;4500;0;1498;835,8;1652;1498;835,8;1652;n/a;3664,2;n/a;n/a;
BOLT,MLG RETRACTING ACTUATOR;3G3210L00151;3G3210L00151;PPA0011;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;160000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;158348;n/a;
BOLT,MLG RETRACTING ACTUATOR;3G3210L00151;3G3210L00151;229PP;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;160000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;158348;n/a;
LEFT MAIN LANDING GEAR ASSY.;3G3210V00137;3G3210V00135;504;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;50000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;48348;n/a;
RIGHT MAIN LANDING GEAR ASSY.;3G3210V00237;3G3210V00235;519;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;50000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;48348;n/a;
NOSE LANDING GEAR ASSY.;3G3220V00135;3G3220V00133;540;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;50000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;48348;n/a;
NOSE RETRACTING ACTUATOR ASSY.;3G3230V00132;3G3230V00132;463;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;50000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;48348;n/a;
MAIN RETRAC. ACTUATOR ASSY.;3G3230V00332;3G3230V00332;804;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;50000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;48348;n/a;
MAIN RETRAC. ACTUATOR ASSY.;3G3230V00332;3G3230V00332;802;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;0;50000;1498;835,8;1652;1498;835,8;1652;n/a;n/a;48348;n/a;
TAIL ASSY;3G5350A00135;3G5350A00135;A7/0748;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10000;0;1498;838,3;1652;1498;838,3;1652;n/a;9161,7;n/a;n/a;
ASSY FIN;3G5351A00135;3G5350A00135;62051171;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;6500;0;1498;835,8;1652;1498;835,8;1652;n/a;5664,2;n/a;n/a;
TGB fitting (Tail Assy);3G5351A01152;3G5351A01152;DEM00128;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7200;0;1498;835,8;1652;1498;835,8;1652;n/a;6364,2;n/a;n/a;
Tailplane Attachment Fitting on Fin Upper;3G5351A01433;3G5351A01433;DEM00158;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7600;0;1498;835,8;1652;1498;835,8;1652;n/a;6764,2;n/a;n/a;
ATTACH. FITTING ON FIN LOWER;3G5351A07532;3G5350A00135;DEM00079;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10600;0;1498;835,8;1652;1498;835,8;1652;n/a;9764,2;n/a;n/a;
Tailplane Attachment Fitting on Fin Upper;3G5351A01533;3G5351A01533;DEM00100;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;7600;0;1498;835,8;1652;1498;835,8;1652;n/a;6764,2;n/a;n/a;
Rod End (Fin End);3G5510A03931;3G5510A02733;1957;;RT;5/7/10;0;0;;#VALUE!;;;0Y 0M 0D;0;4600;0;1498;849,3;1652;#VALUE!;849,3;1652;n/a;3750,7;n/a;n/a;
Rod End (Fin End);3G5510A03931;3G5510A02733;1878;;RT;5/7/10;0;0;;#VALUE!;;;0Y 0M 0D;0;4600;0;1498;849,3;1652;#VALUE!;849,3;1652;n/a;3750,7;n/a;n/a;
Rod End (Tailplane End);3G5510A04053;3G5510A02733;967;;RT;5/7/10;0;0;;#VALUE!;;;0Y 0M 0D;0;10000;0;1498;847,8;1652;#VALUE!;847,8;1652;n/a;9152,2;n/a;n/a;
Rod End (Tailplane End);3G5510A04053;3G5510A02733;977;;RT;5/7/10;0;0;;#VALUE!;;;0Y 0M 0D;0;10000;0;1498;847,8;1652;#VALUE!;847,8;1652;n/a;9152,2;n/a;n/a;
