Description;P/N;S/N;"Actual
Days";"Actual
Hours8";"Actual
Landings";Position
TGB Input Flange Coupling;3T6521A07353;TBL9876;1483;836;1662;0
TGB Input Flange Coupling;3T6521A07353;TBR6613;1483;836;1662;0
TAIL GEARBOX ASSY.;3T6522A00243;TBY8083;1483;836;1652;0
Center Housing (TGB assy);3T6522A05146;TBR4858;1483;836;1652;0
TGB OUTPUT HOUSING;3T6522A05339;TBK4988;1483;836;1662;0
STAND-BY INDICATOR N.1;40004-01-01;M026242;1483;836;1652;0
RADAR ANTENNA;4000525-1812;T3623;1483;836;1652;0
RADAR RECEIVER TRANSMITTER;4001973-0151;T3083;0;884;1523;0
EXTERNAL HOIST CABLE;42325-298;==;479;294;1652;0
EXTERNAL HOIST CABLE;42325-298;S71-184;197;436;1652;0
CARTRIGE;42315-281;0725;1388;836;1652;0
CARTRIGE;42315-281;0748;1388;836;1652;0
KIT MVA ASSY;4G1860F00113;R99;1483;836;1652;0
Torque Tube;4G6310A00931;;0;836;1652;0
CRASH POSITION INDICATOR B;503-16;1232;1411;437;1652;0
BEACON RELEASE UNIT;503-21;970;1483;836;1652;0
COCKPIT CTRL PANEL NVG;503-22-NV;774;1483;836;1652;0
WATER ACTIVATED SWITCH;503-23-2;779;1483;836;1652;0
ELT SYSTEM UNIT;503-24-6;679;1483;836;1652;0
CONFIG.UNIT;503-40;913;1483;836;1652;0
RADAR GUIDA D'ONDA;649.000.025;3471;1483;836;1652;0
RADIO ALTIMETER 1;7001840-934;1005G936;1483;836;1652;1
RADIO ALTIMETER 2;7001840-934;1005G951;1483;836;1652;2
GUIDANCE CONTROLLER;7011702-848;11032215;778;836;1652;0
DISPLAY CONTROLLER NVG;7016683-866;11125086;0;740;1416;0
DISPLAY CONTROLLER NVG;7016683-866;11085015;0;740;1416;0
REMOTE INSTR. CONTROLLER NVG;7016954-810;11044209;0;740;1416;0
REMOTE INSTR. CONTROLLER NVG;7016954-810;11094403;0;740;1416;0
POWER SUPPLY IN MAU 1;7024440-1901;0911H716;1483;836;1652;1
POWER SUPPLY IN MAU 2;7024440-1901;10051474;1483;836;1652;2
CSIO MODULE;7025410-1901;10071222;1483;836;1652;0
CSIO MODULE;7025410-1901;10081251;1483;836;1652;0
MCDU NVG COMPATIBLE;7025725-945;11064683;0;740;1404;0
